FamilyName,FirstName
KEEN, Mr Percy Edward
KELLY, Mrs Fanny Maria
KELLY, Miss Anna Katherine
KELLY, Miss Mary
KEMISH, Mr George
KENNEDY, Mr John
KENYON, Mrs Marion Estelle
KIMBALL, Mr Edwin Nelson Jr.
KIMBALL, Mrs Susan Gertrude
KINK, Mr Anton
KINK-HEILMANN, Mrs Luise
KINK-HEILMANN, Miss Luise Gretchen
KNIGHT, Mr George
KNOWLES, Mr Thomas
KREKORIAN, Mr Neshan
KREUCHEN, Miss Emilie
LAM, Mr Ah
LANDERGREN, Miss Aurora Adelia
LANG, Mr Fang
LAROCHE, Mrs Juliette Marie Louise
LAROCHE, Miss Louise
LAROCHE, Miss Simonne Marie Anne Andrée
LAVINGTON, Miss Elizabeth
LEADER, Dr Alice May
LEATHER, Mrs Elizabeth Mary
LEE, Mr Reginald Robinson
LEE, Mr Henry Reginald
LEHMANN, Miss Bertha
LEITCH, Miss Jessie Wills
LEMORE, Mrs Amelia
LEROY, Miss Berthe
LESUEUR, Mr Louis Gustave Joseph
LEWIS, Mr Arthur Ernest Read
LIGHTOLLER, Mr Charles Herbert
LINDQVIST, Mr Eino William
LINDSAY, Mr Charles William
LINDSTRÖM, Mrs Sigrid
LINES, Mrs Elizabeth Lindsey
LINES, Miss Mary Conover
LITTLEJOHN, Mr Alexander James
LONGLEY, Miss Gretchen Fiske
LOUCH, Mrs Alice Adelaide
LOWE, Mr Harold Godfrey
LUCAS, Mr William Arthur
LUCAS, Mr William Watson
LULIĆ, Mr Nikola
LUNDIN, Miss Olga Elida
LUNDSTRÖM, Mr Thure Edvin
LURETTE, Miss Eugénie Elise
MADIGAN, Miss Margaret
MADILL, Miss Georgette Alexandra
MADSEN, Mr Fridtjof Arne
MAIONI, Miss Roberta Elizabeth Mary
MAJOR, Mr William James
MALLET, Mrs Antonine Marie
MALLET, Master André Clement
MĀMĀ, Mr Hannā Mikā'īl
MANNION, Miss Margaret
MARÉCHAL, Mr Pierre
MARSDEN, Miss Evelyn
MARTIN, Mrs Annie Martha
MARTIN, Miss Mabel Elvina
MARVIN, Mrs Mary Graham Carmichael
