FamilyName,FirstName
DODD, Mr George Charles
DODDS, Mr Henry Watson
DOHERTY, Mr William John
DOLBY, Mr Joseph
DONATI, Sig. Italo Francesco
DONOGHUE, Mr Florence Thomas
DONOHOE, Miss Bridget
DOOLEY, Mr Patrick
DORNIER, Mr Louis Auguste
DOUGHTY, Mr Walter Thomas
DOUGLAS, Mr Walter Donald
DOUTON, Mr William Joseph
DOYLE, Miss Elizabeth
DOYLE, Mr Laurence
DRAŽENOVIĆ, Mr Jozef
DREW, Mr James Vivian
DUFFY, Mr William Luke
DULLES, Mr William Crothers
DUNFORD, Mr William
DWAN, Mr Frank
DYER, Mr Henry Ryland
DYER, Mr William Henry
DYKER, Mr Adolf Fredrik
EAGLE, Mr Alfred James Jacob
EASTMAN, Mr Charles
EDBROOKE, Mr Francis Samuel Jacob
EDE, Mr George Bulkeley
EDGE, Mr Frederick William
EDVARDSSON, Mr Gustaf Hjalmar
EDWARDS, Mr Charles Essex
EGG, Mr William Henry
EITEMILLER, Mr George Floyd
EKLUND, Mr Hans Linus
EKSTRÖM, Mr Johan
ELIAS, Mr Joseph jr.
ELIAS, Mr Joseph
ELIAS NASRALLAH, Mr Tannous
ELLIOTT, Mr Everett Edward
ELSBURY, Mr William James
ENANDER, Mr Ingvar
ENNIS, Mr Walter
ERVINE, Mr Albert George
ESTANISLAU, Mr Manuel Gonçalves
EVANS, Miss Edith Corse
EVANS, Mr William Thomas
EVANS, Mr George Richard
EVERETT, Mr Thomas James
FAHLSTRØM, Mr Arne Joma
FAIRALL, Mr Henry Charles
FARDON, Mr Charles Richard
FARENDEN, Mr Ernest John
FARQUHARSON, Mr William Edward
FARRELL, Mr James
FARTHING, Mr John
FAUNTHORPE, Mr Harry Bartram
FAY, Mr Thomas Joseph
FEI, Sig. Carlo
FELLOWES, Mr Alfred James
FELTHAM, Mr George William
FERRARY, Mr Anton
FERRIS, Mr William
FILLBROOK, Mr Joseph Charles
FINCH, Mr Henry Herman
FIORAVANTE, Sig. Giuseppe Bertoldo
FISCHER, Mr Eberhard Thelander
FITZPATRICK, Mr Hugh Joseph
FLEMING, Miss Honor
FLETCHER, Mr Percy William
FLYNN, Mr James
FLYNN, Mr John
FOLEY, Mr Joseph
FOLEY, Mr William
FORD, Mr Arthur
FORD, Mrs Margaret Ann Watson
FORD, Miss Dollina Margaret
FORD, Mr Edward Watson
FORD, Mr William Neal Thomas
FORD, Miss Robina Maggie
FORD, Mr H.
FORD, Mr Thomas
FORD, Mr Ernest
FORD, Mr Francis
FOREMAN, Mr Benjamin Laventall
FORTUNE, Mr Mark
FORTUNE, Mr Charles Alexander
FOSTER, Mr Alfred Charles
FOX, Mr Stanley Harrington
FOX, Mr Patrick
FOX, Mr William Thomas
FRANKLIN, Mr Thomas Parnham
FRANKLIN, Mr Alan Vincent
FRASER, Mr James
FRASER, Mr J.
FREEMAN, Mr Ernest Edward Samuel
FROST, Mr Anthony Wood
FRY, Mr Richard Thomas
FUNK, Miss Annie Clemmer
FUTRELLE, Mr Jacques Heath
FYNNEY, Mr Joseph J.
GALE, Mr Harry
GALE, Mr Shadrach
GALLAGHER, Mr Martin
GARFIRTH, Mr John
GASKELL, Mr William Alfred
GATTI, Sig. Gaspare Antonio Pietro
GAVEY, Mr Laurence
GEDDES, Mr Richard Charles
GEE, Mr Arthur
GEER, Mr Alfred Emest
GEORGIEV, Mr Stenyu
GIGLIO, Mr Victor Gaitan Andrea
GILARDINO, Sig. Vincenzo Pio
GILBERT, Mr William
GILES, Mr Edgar
GILES, Mr Frederick Edward
GILES, Mr Ralph
GILES, Mr John Robert
GILINSKI, Mr Eliezer
GILL, Mr John
GILL, Mr Joseph Stanley
GILL, Mr Patrick
GILLESPIE, Mr William Henry
GIVARD, Mr Hans Kristensen
GODWIN, Mr Frederick Charles
GOLDER, Mr Martin William
GOLDSCHMIDT, Mr George B.
GOLDSMITH, Mr Frank John
GOLDSMITH, Mr Nathan
GOLLOP, Mr Percival Salisbury
GOODWIN, Mr Frederick Joseph
GOODWIN, Mrs Augusta
GOODWIN, Miss Lillian Augusta
GOODWIN, Mr Charles Edward
GOODWIN, Master William Frederick
GOODWIN, Miss Jessie Allis Mary
GOODWIN, Master Harold Victor
GOODWIN, Master Sidney Leslie
GORDON, Mr John
GOREE, Mr Frank
GOSHAWK, Mr Alfred James
GOSLING, Mr Bertram James
GOSLING, Mr Frank Henry
GRADIDGE, Mr Ernest Edward
GRAHAM, Mr George Edward
GREEN, Mr George
GREEN, Mr George
GREENBERG, Mr Samuel
GREGORY, Mr David
GROSCLAUDE, Mr Gérald
GRØNNESTAD, Mr Daniel Danielsen
GUEST, Mr Stephen
GUGGENHEIM, Mr Benjamin
GUMERY, Mr George
GUNN, Mr Joseph Alfred
GUSTAFSSON, Mr Karl Gideon
GUSTAFSSON, Mr Alfred Ossian
GUSTAFSSON, Mr Anders Vilhelm
GUSTAFSSON, Mr Johan Birger
GWINN, Mr William Logan
HAAS, Miss Aloisia
HAGLAND, Mr Ingvald Olai Olsen
HAGLAND, Mr Konrad Mathias Reiersen
HAKKARAINEN, Mr Pekka Pietari
HALE, Mr Reginald
HALL, Mr J.
HALL, Mr Frank Alfred James
HALLETT, Mr George Alexander
HAMBLYN, Mr Ernest William
HAMILTON, Mr Ernest
HAMPE, Mr Léon Jérome
HANDS, Mr Bernard
ḤANNĀ AL-HĀJ, Mr Mansūr
HANNAM, Mr George
HANSEN, Mr Claus Peter
HANSEN, Mr Henry Damsgaard
HANSEN, Mr Jens Henrik Marius Juul
HARBECK, Mr William H.
HARDING, Mr Alfred John
HARGADON, Miss Kate
HARKNETT, Miss Alice Phoebe
HARPER, Rev. John
HARRINGTON, Mr Henry Charles
HARRIS, Mr Henry Burkhardt
HARRIS, Mr Walter
HARRIS, Mr Amos
HARRIS, Mr Edward John
HARRIS, Mr Charles William
HARRIS, Mr Clifford Henry
HARRIS, Mr Edward Matthew
HARRISON, Mr William Henry
HARRISON, Mr Norman E.
HART, Mr Benjamin
HART, Mr Henry
HART, Mr James
HARTLEY, Mr Wallace Henry
HARVEY, Mr Herbert Gifford
HATCH, Mr Hugh
HAWKESWORTH, Mr James
HAWKESWORTH, Mr William Walter
HAYS, Mr Charles Melville
HAYTER, Mr Arthur
HEAD, Mr Christopher
HEAD, Mr Alfred
HEGARTY, Miss Hanora
HEINEN, Mr Joseph Dominichus
HEININEN, Miss Wendla Maria
HENDEKOVIĆ, Mr Ignjac
HENDY, Mr Edward Martin
HENRIKSSON, Miss Jenny Lovisa
HENRY, Miss Bridget
HENSFORD, Mr Herbert George Ernest
HERMAN, Mr Samuel
HESKETH, Mr John Henry
HESLIN, Mr James
HEWITT, Mr Thomas
HICKMAN, Mr Leonard Mark
HICKMAN, Mr Lewis
HICKMAN, Mr Stanley George
HILL, Mr James
HILL, Mr Henry Parkinson
HILL, Mr James Colston
HILLIARD, Mr Herbert Henry
HILTUNEN, Miss Martta Maria
HINCKLEY, Mr George Herbert
HINE, Mr William Edward
HINTON, Mr Stephen William
HIPKINS, Mr William Edward
HISCOCK, Mr Sydney George
HOARE, Mr Leonard James
HOCKING, Mr Richard George
HOCKING, Mr Samuel James Metcalfe
HODGE, Mr Charley
HODGES, Mr Henry Price
HODGES, Mr W.
HODGKINSON, Mr Leonard
HOGAN, Mr Albert John
HOGG, Mr Charles William
HOGUE, Mr E.
HOLD, Mr Stephen
HOLLAND, Mr Thomas
HOLLOWAY, Mr Sidney
HOLM, Mr John Fredrik Alexander
HOLMAN, Mr Harry
HOLTEN, Mr Johan Martin
HOLVERSON, Mr Alexander Oskar
HOOD, Mr Ambrose
HOPGOOD, Mr Roland John C.
HOPKINS, Mr Frederick William
HORGAN, Mr John
HOSGOOD, Mr Richard William
HOSKING, Mr George Fox
HOUSE, Mr William Charles
HOWARD, Mr Benjamin
HOWARD, Mrs Ellen Truelove
HOWELL, Mr Arthur Albert
HOYT, Mr William Fisher
HUGHES, Mr William Thomas
HUMBLEN, Mr Adolf Mathias Nicolai Olsen
HUMBY, Mr Frederick
HUME, Mr John Law
HUMPHREYS, Mr Humphrey
HUNT, Mr George Henry
HUNT, Mr Tom
HURST, Mr Charles John
HUTCHINSON, Mr John Hall
HUTCHISON, Mr James
IBRĀHĪM, Mr Husayn Mahmūd Husayn
IBRĀHĪM-SHAWAH, Mr Yūsuf Hānī
IDE, Mr Harry John
ILIEV, Mr Ilyo
ILMAKANGAS, Miss Ida Livija
ILMAKANGAS, Miss Pieta Sofia
INGRAM, Mr George
INGROUILLE, Mr Henry
INGS, Mr William Ernest
INSTANCE, Mr Thomas
ISHAM, Miss Ann Elizabeth
IVYANOV, Mr Kostya
JABBUR (ZABOUR), Miss Thamine
JABBUR (ZABOUR), Miss Hileni
JACKOPSON, Mr John Henry
JACKSON, Mr Cecil
JACOBSEN, Mrs Gunhilde Oline 'Lena'
JACOBSOHN, Mr Sidney Samuel
JAGO, Mr Joseph
JAILLET, Mr Henri Marie
JAMES, Mr Thomas
JANAWAY, Mr William Frank
JANIN, Mr Claude Marie
JARDIM, Mr José Neto
JARVIS, Mr Denzil John
JEFFERY, Mr William Alfred
JEFFERYS, Mr Clifford Thomas
JEFFERYS, Mr Ernest Wilfred
JENKIN, Mr Stephen Curnow
JENNER, Mr Thomas Henry (Harry)
JENSEN, Mr Hans Peder
JENSEN, Mr Svend Lauritz
JENSEN, Mr Niels Rasmus
JENSEN, Mr Charles Valdemar
JOAS, Mr Nicolas
JOHANSON, Mr Jakob Alfred
JOHANSSON, Mr Nils
JOHANSSON, Mr Erik
JOHANSSON, Mr Gustaf Joël
JOHANSSON, Mr Karl Johan
JOHNSON, Mr August
JOHNSON, Mr William Cahoone
JOHNSON, Mr Malkolm Joackim
JOHNSTON, Mr Andrew Emslie
JOHNSTON, Mrs Eliza
JOHNSTON, Master William Andrew
JOHNSTON, Miss Catherine Nellie
JONES, Mr Charles Cresson
JONES, Mr Albert Hugh Brabner
JONES, Mr Arthur Ernest
JONES, Mr Harry Owen Glendower
JONES, Mr Victor Reginald
JÖNSSON, Mr Nils Hilding
JOUANNAULT, Mr Georges Jules
JUKES, Mr Henry James
JULIAN, Mr Henry Forbes
JUPE, Mr Boylett Herbert
JUSSILA, Miss Katriina
JUSSILA, Miss Mari Aina
KALLIO, Mr Nikolai Erland
KALVIK, Mr Johannes Halvorsen
KANTOR, Mr Sinai
KARAJIĆ, Mr Milan
KARLSSON, Mr Julius Konrad Eugen
KARLSSON, Mr Nils August
KARNES, Mrs Claire
KATAVELOS, Mr Vasilios G.
KEANE, Mr Daniel
KEANE, Mr Andrew
KEARL, Mr Charles Henry
KEARL, Mr George Edward
KEEGAN, Mr James
KEEPING, Mr Edwin Herbert
KELLAND, Mr Thomas
KELLY, Mr James
KELLY, Mr James
KELLY, Mr James
KELLY, Mr William Patrick
KEMP, Mr Thomas Hulman
KENNELL, Mr Charles
KENT, Mr Edward Austin
KENYON, Mr Frederick Roland
KENZLER, Mr August
KERLEY, Mr William Thomas
KERR, Mr Thomas Russell
KETCHLEY, Mr Henry
KHALIL, Mr Betros
KHALIL, Mrs Zahie
KHALĪL 'ATTA ALLĀH, Mr Sulaymān
KIERAN, Mr James William
KIERAN, Mr Edgar Michael
KIERNAN, Mr John Joseph
KIERNAN, Mr Philip
KILGANNON, Mr Thomas
KINCHENTEN, Mr Frederick Charles
KING, Mr Thomas Walter
KING, Mr Alfred John Moffett
KING, Mr Ernest Waldron
KINGSCOTE, Mr William Ford
KINK, Miss Maria
KINK, Mr Vincenz
KINSELLA, Mr Louis
KIRKALDY, Mr Thomas Benjamin
KIRKHAM, Mr James
KIRKLAND, Fr Charles Leonard
KITCHING, Mr Arthur Alfred
KLABER, Mr Herman
KLASÉN, Mr Klas Albin
KLASÉN, Miss Gertrud Emilia
KLASÉN, Mrs Hulda Kristina Eugenia
KLEIN, Mr Herbert
KNIGHT, Mr Robert
KNIGHT, Mr Leonard George
KOLEV, Mr Sotir
KOLEV, Mr Petr
KRAEFF, Mr Theodor
KRINS, Mr Georges Alexandre
KUTSCHER (LITHMAN), Mr Simon
KVILLNER, Mr Johan Henrik Johannesson
LACEY, Mr Bertie William
LAHHŪD ISHAQ MU'AWWAD, Mr Sarkīs
LAHTINEN, Rev. William
LAHTINEN, Mrs Anna Amelia
LAHY, Mr T.
LAITINEN, Miss Kristina Sofia
LAKE, Mr William
LAM, Mr Len
LAMB, Mr John J.
LANE, Mr Patrick
LANE, Mr Albert Edward
LAROCHE, Mr Joseph Philippe Lemercier
LARSSON, Mr August Viktor
LARSSON, Mr Bengt Edvin
LATIMER, Mr Andrew
LAWRANCE, Mr Arthur
LEADER, Mr Archibald
LEE, Mr Herbert Henry
LEFEBVRE, Mrs Frances Marie
LEFEBVRE, Master Henry
LEFEBVRE, Miss Ida
LEFEBVRE, Miss Jeannie
LEFEBVRE, Miss Mathilde
LEFEBVRE, Mr Paul Georges
LEINONEN, Mr Antti Gustaf
LENNON, Mr Denis
LEONARD, Mr Matthew
LESTER, Mr James
LEVETT, Mr George Alfred
LÉVY, Mr René Jacques
LEWY, Mr Ervin G.
LEYSON, Mr Robert William Norman
LIEVENS, Mr René Aimé
LIGHT, Mr Christopher William
LIGHT, Mr W.
LIGHT, Mr Charles Edward
LIND, Mr Erik Gustaf
LINDAHL, Miss Agda Thorilda Viktoria
LINDBLOM, Miss Augusta Charlotta
LINDELL, Mr Edvard Bengtsson
LINDELL, Mrs Elin Gerda
LINEHAN, Mr Michael
LING, Mr Lee
LINGANE, Mr John
LINHART, Mr Wenzel
LIVSHIN, Mr David
LLOYD, Mr William
LLOYD, Mr Humphrey
